strain,accession,originating_lab,submitting_lab,segment
A/Hanoi/ND049/2004,EPI2563,?,Other Database Import,HA
A/Hanoi/Q031/2007,EPI369527,?,Other Database Import,HA
A/Hanoi/Q094/2007,EPI369543,?,Other Database Import,HA
A/Hanoi/Q097/2007,EPI355542,?,Other Database Import,HA
A/Hanoi/Q099/2007,EPI369551,?,Other Database Import,HA
A/Hanoi/Q118/2007,EPI355551,?,Other Database Import,HA
A/Hanoi/Q220/2007,EPI369575,?,Other Database Import,HA
A/Hanoi/Q372/2005,EPI354257,?,Other Database Import,HA
A/Hanoi/Q430/2007,EPI355564,?,Other Database Import,HA
A/Hanoi/Q464/2007,EPI369583,?,Other Database Import,HA
A/Hanoi/Q492/2007,EPI369591,?,Other Database Import,HA
A/Hanoi/Q499/2007,EPI369599,?,Other Database Import,HA
A/Hanoi/Q578/2007,EPI369615,?,Other Database Import,HA
A/Hanoi/Q582/2007,EPI355578,?,Other Database Import,HA
A/Hanoi/Q638/2007,EPI369623,?,Other Database Import,HA
A/Hanoi/Q656/2007,EPI369631,?,Other Database Import,HA
A/Hanoi/Q664/2007,EPI355585,?,Other Database Import,HA
A/Hanoi/Q672/2007,EPI355592,?,Other Database Import,HA
A/Hanoi/Q748/2007,EPI355599,?,Other Database Import,HA
A/Hanoi/Q769/2007,EPI369639,?,Other Database Import,HA
A/Hanoi/Q924/2007,EPI369703,?,Other Database Import,HA
A/Hanoi/TB285/2005,EPI2605,?,Other Database Import,HA
A/Hanoi/TN388/2005,EPI2612,?,Other Database Import,HA
A/Hanoi/TN399/2005,EPI2619,?,Other Database Import,HA
A/Hanoi/TN403/2005,EPI2626,?,Other Database Import,HA
A/Hanoi/TN405/2005,EPI2633,?,Other Database Import,HA
A/Hanoi/TN406/2005,EPI2640,?,Other Database Import,HA
A/Hanoi/TN410/2005,EPI2647,?,Other Database Import,HA
A/Hanoi/TX022/2007,EPI369671,?,Other Database Import,HA
A/Hanoi/TX050/2007,EPI355606,?,Other Database Import,HA
A/Hanoi/TX067/2007,EPI369687,?,Other Database Import,HA
A/Hanoi/TX072/2007,EPI369695,?,Other Database Import,HA
A/Hanoi/TX320/2007,EPI355619,?,Other Database Import,HA
A/Hanoi/TX322/2007,EPI355626,?,Other Database Import,HA
A/Hanoi/TX327/2007,EPI355633,?,Other Database Import,HA
A/Harbin/1/1997,EPI360660,?,Other Database Import,HA
A/Harbin/2/1997,EPI360667,?,Other Database Import,HA
A/Harbin/36/1998,EPI360690,?,Other Database Import,HA
A/Harbin/59/1999,EPI360726,?,Other Database Import,HA
A/Haryana/1256/2013,EPI527674,?,Other Database Import,HA
A/Haryana/706/2013,EPI527668,?,Other Database Import,HA
A/Haryana/9932/2012,EPI527664,?,Other Database Import,HA
A/Haryana/9972/2012,EPI527666,?,Other Database Import,HA
A/Hatay/2314/2014,EPI589727,Refik Saydam National Public Health Agency,Crick Worldwide Influenza Centre,HA
A/Hatay/4990/2016,EPI1013097,Refik Saydam National Public Health Agency,Crick Worldwide Influenza Centre,HA
A/Hawaii/1/2004,EPI116043,?,Other Database Import,HA
A/Hawaii/1/2006,EPI115729,?,Other Database Import,HA
A/Hawaii/1/2012,EPI360912,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/10/2009,EPI185854,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/10/2018,EPI1185623,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/104/2016,EPI895985,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/105/2016,EPI895993,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/12/2007,EPI134577,?,Centers For Disease Control And Prevention,HA
A/Hawaii/13/2007,EPI134579,?,Centers For Disease Control And Prevention,HA
A/Hawaii/13/2012,EPI394807,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/14/2007,EPI133834,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/14/2014,EPI537726,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/14/2015,EPI629729,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/14/2016,EPI747616,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/15/2010,EPI295280,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/15/2011,EPI352470,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/15/2014,EPI537727,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/15/2016,EPI752397,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/16/2011,EPI363047,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/16/2012,EPI394988,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/16/2014,EPI538504,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/16/2015,EPI629734,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/16/2016,EPI747624,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/17/2014,EPI538508,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/17/2016,EPI747940,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/18/2008,EPI168591,?,Centers For Disease Control And Prevention,HA
A/Hawaii/18/2010,EPI302280,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/19/2002,EPI235617,?,Other Database Import,HA
A/Hawaii/19/2014,EPI540878,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/2/2006,EPI115731,?,Other Database Import,HA
A/Hawaii/2/2009,EPI185840,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/2/2011,EPI335899,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/2/2012,EPI377508,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/2/2013,EPI460792,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/2/2014,EPI532624,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/2/2015,EPI575183,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/20/2019,EPI1429631,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/21/2010,EPI309381,U.s. Air Force School Of Aerospace Medicine,Centers For Disease Control And Prevention,HA
A/Hawaii/21/2012,EPI397065,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/21/2014,EPI540879,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/21/2017,EPI1016041,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/22/2005,EPI115691,?,Other Database Import,HA
A/Hawaii/22/2010,EPI309425,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/22/2012,EPI397072,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/22/2014,EPI540880,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/23/2012,EPI397063,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/23/2014,EPI540866,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/23/2015,EPI629644,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/23/2019,EPI1432813,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/24/2012,EPI397567,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/24/2014,EPI540867,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/25/2012,EPI398016,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/25/2014,EPI540868,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/25/2019,EPI1432821,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/26/2012,EPI398033,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/26/2014,EPI540869,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/27/2012,EPI406919,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/27/2014,EPI540870,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/27/2015,EPI626520,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/28/2012,EPI401752,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/28/2014,EPI540825,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/28/2015,EPI631662,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/28/2017,EPI1016327,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/29/2012,EPI404920,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/29/2014,EPI540826,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/3/2005,EPI115576,?,Other Database Import,HA
A/Hawaii/3/2016,EPI711434,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/30/2019,EPI1442393,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/31/2009,EPI243560,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/31/2014,EPI540799,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/31/2015,EPI626330,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/31/2019,EPI1479374,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/32/2014,EPI540810,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/32/2015,EPI624288,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/32/2016,EPI761550,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/33/2014,EPI540811,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/33/2015,EPI624304,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/34/2015,EPI647828,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/3416/2013,EPI462208,?,Other Database Import,HA
A/Hawaii/3417/2013,EPI462209,?,Other Database Import,HA
A/Hawaii/3418/2013,EPI462210,?,Other Database Import,HA
A/Hawaii/3437/2013,EPI499501,?,Other Database Import,HA
A/Hawaii/3440/2013,EPI499504,?,Other Database Import,HA
A/Hawaii/35/2014,EPI547869,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/35/2015,EPI647812,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/35/2018,EPI1245348,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/36/2009,EPI270289,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/36/2014,EPI553967,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/36/2015,EPI647820,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/36/2019,EPI1482817,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/37/2014,EPI547885,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/37/2015,EPI624233,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/38/2014,EPI547893,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/38/2015,EPI629666,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/38/2017,EPI1056291,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/39/2014,EPI547901,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/4/2002,EPI235618,?,Other Database Import,HA
A/Hawaii/4/2011,EPI340924,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/4/2016,EPI747225,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/40/2014,EPI553882,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/41/2017,EPI1059934,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/41/2019,EPI1486409,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/42/2015,EPI633844,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/42/2016,EPI814229,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/42/2017,EPI1059942,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/42/2018,EPI1259222,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/42/2019,EPI1486401,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/43/2018,EPI1268552,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/44/2014,EPI549046,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/44/2018,EPI1260829,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/45/2012,EPI417984,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/45/2014,EPI548916,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/45/2015,EPI631810,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/45/2018,EPI1271524,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/46/2014,EPI548908,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/46/2015,EPI639173,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/46/2016,EPI814237,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/46/2018,EPI1271299,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/46/2019,EPI1496199,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/4631/2015,EPI663155,?,Other Database Import,HA
A/Hawaii/4632/2015,EPI663156,?,Other Database Import,HA
A/Hawaii/4637/2015,EPI663161,?,Other Database Import,HA
A/Hawaii/47/2008,EPI172430,?,Centers For Disease Control And Prevention,HA
A/Hawaii/47/2014,EPI1736440,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/47/2015,EPI639157,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/47/2016,EPI776188,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/47/2018,EPI1310625,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/48/2014,EPI553609,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/48/2015,EPI651448,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/48/2016,EPI814245,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/48/2019,EPI1508198,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/49/2014,EPI553617,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/49/2015,EPI651456,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/49/2016,EPI814253,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/49/2018,EPI1311710,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/5/2009,EPI185842,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/5/2016,EPI715386,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/50/2018,EPI1311718,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/51/2017,EPI1094598,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/51/2018,EPI1311726,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/51/2019,EPI1548550,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/52/2015,EPI651743,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/52/2017,EPI1094606,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/52/2018,EPI1311734,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/53/2015,EPI651759,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/53/2018,EPI1311670,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/53/2019,EPI1548558,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/54/2016,EPI814213,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/55/2015,EPI662377,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/55/2016,EPI814221,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/56/2016,EPI827308,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/57/2015,EPI662482,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/57/2018,EPI1323080,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/57/2019,EPI1586349,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/58/2015,EPI671230,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/58/2016,EPI827237,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/58/2019,EPI1593440,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/59/2016,EPI832149,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/59/2019,EPI1593448,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/6/2006,EPI123249,?,Centers For Disease Control And Prevention,HA
A/Hawaii/6/2009,EPI185845,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/6/2018,EPI1180982,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/60/2014,EPI555487,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/60/2015,EPI671238,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/60/2016,EPI832157,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/60/2019,EPI1597063,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/61/2015,EPI671243,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/61/2016,EPI832109,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/61/2019,EPI1597455,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/62/2015,EPI686064,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/62/2016,EPI832245,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/62/2019,EPI1606075,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/63/2015,EPI677290,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/63/2016,EPI836475,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/64/2015,EPI680085,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/64/2016,EPI836483,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/64/2019,EPI1609447,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/65/2019,EPI1617785,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/66/2015,EPI673885,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/67/2016,EPI861686,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/69/2015,EPI677313,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/7/2009,EPI185848,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/7/2015,EPI584559,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/7/2016,EPI715394,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/72/2015,EPI677422,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/75/2015,EPI677454,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/77/2015,EPI680093,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/79/2015,EPI695730,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/8/2006,EPI123295,?,Centers For Disease Control And Prevention,HA
A/Hawaii/8/2014,EPI534047,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/8/2015,EPI588514,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/8/2019,EPI1407129,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/80/2015,EPI711442,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/81/2015,EPI711091,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/82/2016,EPI862267,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/84/2016,EPI862259,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/87/2016,EPI865454,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/89/2016,EPI865462,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/9/2011,EPI347491,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/9/2014,EPI537083,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/9/2019,EPI1408564,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/91/2016,EPI865478,State Of Hawaii Department Of Health,Centers For Disease Control And Prevention,HA
A/Hawaii/AF2684/2010,EPI308943,?,Other Database Import,HA
A/Hawaii/AF2685/2010,EPI308944,?,Other Database Import,HA
A/Hawaii/HI-02-3736/2002,EPI235619,?,Other Database Import,HA
A/Hawaii/HI-02-4051/2002,EPI235620,?,Other Database Import,HA
A/Hawaii/HI-02-4055/2002,EPI235621,?,Other Database Import,HA
A/Hawaii/HI-02-4092/2002,EPI235622,?,Other Database Import,HA
A/Hawaii/HI-05-0137/2005,EPI226692,?,Other Database Import,HA
A/Hawaii/HI-05-6679/2005,EPI226693,?,Other Database Import,HA
A/Hawaii/HI-06-10284/2006,EPI224648,?,Other Database Import,HA
A/Hawaii/HI-4-310-THROAT/2004,EPI229334,?,Other Database Import,HA
A/Hawaii/HI-RSP04-2340-ORIGINAL/2004,EPI229335,?,Other Database Import,HA
A/Hawaii/HI-RSP04-2624-ORIGINAL/2004,EPI229336,?,Other Database Import,HA
A/Hawkesbay/1/2013,EPI526813,Institute Of Environmental Science And Research,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Hebei-Changan/111/2015,EPI586326,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Hebei-Haigang/1203/2019,EPI1503655,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Hebei-Lunan/1410/2016,EPI777794,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Hebei-Luquan/1108/2019,EPI1380685,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Hebei-Nanshi/123/2007,EPI363167,?,Other Database Import,HA
A/Hebei-Qiaodong/324/2006,EPI363143,?,Other Database Import,HA
A/Hebei-Qiaodong/330/2006,EPI363144,?,Other Database Import,HA
A/Hebei-Qiaodong/512/2006,EPI363145,?,Other Database Import,HA
A/Hebei-Qiaoxi/53/2009,EPI363371,?,Other Database Import,HA
A/Hebei-Xinhua/1193/2009,EPI211382,Who Chinese National Influenza Center,Centers For Disease Control And Prevention,HA
A/Hebei-Xinshi/118/2009,EPI363353,?,Other Database Import,HA
A/Hebei-Xinshi/122/2007,EPI363169,?,Other Database Import,HA
A/Hebei-Yuhua/1195/2010,EPI301143,Who Chinese National Influenza Center,National Institute Of Infectious Diseases (niid),HA
A/Hebei-Yunhe/1101/2017,EPI1030198,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Hebei-Zunhua/1177/2016,EPI777977,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Hebei-Zunhua/161/2011,EPI319681,Who Chinese National Influenza Center,Centers For Disease Control And Prevention,HA
A/Hebei/196/2003,EPI145084,?,Other Database Import,HA
A/Hebei/22/2002,EPI609676,?,Other Database Import,HA
A/Hebei/37/2002,EPI360208,?,Other Database Import,HA
A/HebeiBaodingAnguo/51/2010,EPI607033,?,Other Database Import,HA
A/HebeiShijiazhuangYuhua/133/2011,EPI609145,?,Other Database Import,HA
A/Heilongjiang-Aimin/1622/2015,EPI697024,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Beilin/1304/2017,EPI1062967,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Daoli/1128/2012,EPI388496,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Jianhua/15/2016,EPI713589,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Longsha/111/2016,EPI713586,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Longsha/1274/2016,EPI777686,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Longsha/1598/2015,EPI697048,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Longsha/160/2010,EPI293824,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Nangang/124/2011,EPI330561,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Nangang/134/2009,EPI185732,Who Chinese National Influenza Center,Centers For Disease Control And Prevention,HA
A/Heilongjiang-Taoshan/147/2011,EPI330769,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Xiangfang/147/2006,EPI363146,?,Other Database Import,HA
A/Heilongjiang-Xiangyang/1125/2011,EPI330521,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
A/Heilongjiang-Xiangyang/1134/2011,EPI330529,Who Chinese National Influenza Center,Who Chinese National Influenza Center,HA
